,quality,Type,quality_label
263,5,red,low
264,5,red,low
265,7,red,medium
266,4,red,low
267,8,red,high
268,6,red,medium
269,6,red,medium
270,6,red,medium
271,6,red,medium
272,5,red,low
273,5,red,low
274,5,red,low
275,6,red,medium
276,6,red,medium
277,6,red,medium
278,8,red,high
279,7,red,medium
280,6,red,medium
281,7,red,medium
282,5,red,low
283,7,red,medium
284,5,red,low
285,5,red,low
286,6,red,medium
287,6,red,medium
288,7,red,medium
289,5,red,low
290,7,red,medium
291,5,red,low
292,6,red,medium
293,6,red,medium
294,6,red,medium
295,5,red,low
296,5,red,low
297,5,red,low
298,5,red,low
299,5,red,low
300,6,red,medium
301,6,red,medium
302,5,red,low
303,5,red,low
304,5,red,low
305,6,red,medium
306,5,red,low
307,6,red,medium
308,6,red,medium
309,6,red,medium
310,6,red,medium
311,6,red,medium
312,6,red,medium
313,5,red,low
314,5,red,low
315,6,red,medium
316,5,red,low
317,6,red,medium
318,7,red,medium
319,6,red,medium
320,7,red,medium
321,5,red,low
322,5,red,low
323,6,red,medium
324,6,red,medium
325,6,red,medium
326,7,red,medium
327,5,red,low
328,6,red,medium
329,5,red,low
330,6,red,medium
331,6,red,medium
332,6,red,medium
333,5,red,low
334,7,red,medium
335,7,red,medium
336,6,red,medium
337,5,red,low
338,6,red,medium
339,7,red,medium
340,6,red,medium
341,6,red,medium
342,6,red,medium
343,6,red,medium
344,6,red,medium
345,5,red,low
346,7,red,medium
347,6,red,medium
348,6,red,medium
349,6,red,medium
350,6,red,medium
351,6,red,medium
352,5,red,low
353,5,red,low
354,6,red,medium
355,6,red,medium
356,5,red,low
357,7,red,medium
358,7,red,medium
359,6,red,medium
360,5,red,low
361,6,red,medium
362,5,red,low
363,5,red,low
364,7,red,medium
365,6,red,medium
366,7,red,medium
367,5,red,low
368,5,red,low
369,7,red,medium
370,5,red,low
371,6,red,medium
372,6,red,medium
373,5,red,low
374,6,red,medium
375,7,red,medium
376,6,red,medium
377,7,red,medium
378,6,red,medium
379,6,red,medium
380,6,red,medium
381,6,red,medium
382,6,red,medium
383,6,red,medium
384,5,red,low
385,6,red,medium
386,6,red,medium
387,6,red,medium
388,6,red,medium
389,7,red,medium
390,8,red,high
391,6,red,medium
392,5,red,low
393,5,red,low
394,5,red,low
395,7,red,medium
396,5,red,low
397,6,red,medium
398,6,red,medium
399,5,red,low
400,5,red,low
401,6,red,medium
402,6,red,medium
403,6,red,medium
404,5,red,low
405,6,red,medium
406,6,red,medium
407,7,red,medium
408,6,red,medium
409,4,red,low
410,6,red,medium
411,5,red,low
412,5,red,low
413,7,red,medium
414,5,red,low
415,5,red,low
416,6,red,medium
417,5,red,low
418,6,red,medium
419,5,red,low
420,7,red,medium
421,7,red,medium
422,5,red,low
423,7,red,medium
424,5,red,low
425,7,red,medium
426,6,red,medium
427,6,red,medium
428,5,red,low
429,6,red,medium
430,7,red,medium
431,5,red,low
432,6,red,medium
433,5,red,low
434,6,red,medium
435,5,red,low
436,6,red,medium
437,6,red,medium
438,6,red,medium
439,5,red,low
440,8,red,high
441,6,red,medium
442,7,red,medium
443,7,red,medium
444,7,red,medium
445,6,red,medium
446,5,red,low
447,5,red,low
448,6,red,medium
449,6,red,medium
450,6,red,medium
451,6,red,medium
452,6,red,medium
453,7,red,medium
454,5,red,low
455,8,red,high
456,5,red,low
457,5,red,low
458,7,red,medium
459,3,red,low
460,6,red,medium
461,5,red,low
462,5,red,low
463,5,red,low
464,6,red,medium
465,5,red,low
466,6,red,medium
467,6,red,medium
468,6,red,medium
469,5,red,low
470,5,red,low
471,6,red,medium
472,6,red,medium
473,5,red,low
474,6,red,medium
475,5,red,low
476,5,red,low
477,6,red,medium
478,5,red,low
479,6,red,medium
480,5,red,low
481,8,red,high
482,5,red,low
483,5,red,low
484,6,red,medium
485,5,red,low
486,5,red,low
487,6,red,medium
488,7,red,medium
489,6,red,medium
490,6,red,medium
491,7,red,medium
492,7,red,medium
493,6,red,medium
494,6,red,medium
495,8,red,high
496,6,red,medium
497,5,red,low
498,8,red,high
499,6,red,medium
500,6,red,medium
501,7,red,medium
502,7,red,medium
503,7,red,medium
504,7,red,medium
505,7,red,medium
506,7,red,medium
507,6,red,medium
508,6,red,medium
509,7,red,medium
510,5,red,low
511,6,red,medium
512,6,red,medium
513,7,red,medium
514,7,red,medium
515,5,red,low
516,6,red,medium
517,3,red,low
518,6,red,medium
519,5,red,low
520,6,red,medium
521,5,red,low
522,5,red,low
523,5,red,low
524,5,red,low
525,5,red,low
526,5,red,low
527,6,red,medium
528,6,red,medium
529,5,red,low
530,6,red,medium
531,5,red,low
532,5,red,low
533,6,red,medium
534,6,red,medium
535,6,red,medium
536,5,red,low
537,6,red,medium
538,7,red,medium
539,5,red,low
540,5,red,low
541,6,red,medium
542,5,red,low
543,6,red,medium
544,6,red,medium
545,5,red,low
546,6,red,medium
547,6,red,medium
548,6,red,medium
549,6,red,medium
550,6,red,medium
551,6,red,medium
552,6,red,medium
553,5,red,low
554,5,red,low
555,5,red,low
556,6,red,medium
557,5,red,low
558,6,red,medium
559,6,red,medium
560,5,red,low
561,5,red,low
562,5,red,low
563,6,red,medium
564,6,red,medium
565,5,red,low
566,6,red,medium
567,6,red,medium
568,6,red,medium
569,6,red,medium
570,6,red,medium
571,6,red,medium
572,5,red,low
573,4,red,low
574,6,red,medium
575,6,red,medium
576,4,red,low
577,5,red,low
578,5,red,low
579,6,red,medium
580,5,red,low
581,5,red,low
582,5,red,low
583,7,red,medium
584,7,red,medium
585,6,red,medium
586,7,red,medium
587,5,red,low
588,8,red,high
589,7,red,medium
590,5,red,low
591,6,red,medium
592,5,red,low
593,5,red,low
594,5,red,low
595,5,red,low
596,6,red,medium
597,6,red,medium
598,6,red,medium
599,6,red,medium
600,4,red,low
601,6,red,medium
602,5,red,low
603,6,red,medium
604,6,red,medium
605,6,red,medium
606,7,red,medium
607,6,red,medium
608,6,red,medium
609,6,red,medium
610,5,red,low
611,5,red,low
612,6,red,medium
613,5,red,low
614,6,red,medium
615,5,red,low
616,5,red,low
617,6,red,medium
618,5,red,low
619,5,red,low
620,5,red,low
621,5,red,low
622,5,red,low
623,6,red,medium
624,5,red,low
625,5,red,low
626,5,red,low
627,5,red,low
628,6,red,medium
629,5,red,low
630,6,red,medium
631,5,red,low
632,6,red,medium
633,4,red,low
634,5,red,low
635,5,red,low
636,5,red,low
637,5,red,low
638,7,red,medium
639,6,red,medium
640,5,red,low
641,5,red,low
642,5,red,low
643,5,red,low
644,5,red,low
645,7,red,medium
646,5,red,low
647,4,red,low
648,7,red,medium
649,6,red,medium
650,5,red,low
651,5,red,low
652,5,red,low
653,6,red,medium
654,5,red,low
655,5,red,low
656,5,red,low
657,7,red,medium
658,6,red,medium
659,4,red,low
660,6,red,medium
661,5,red,low
662,6,red,medium
663,6,red,medium
664,5,red,low
665,5,red,low
666,6,red,medium
667,6,red,medium
668,5,red,low
669,6,red,medium
670,5,red,low
671,5,red,low
672,5,red,low
673,5,red,low
674,6,red,medium
675,5,red,low
676,6,red,medium
677,5,red,low
678,5,red,low
679,5,red,low
680,5,red,low
681,6,red,medium
682,5,red,low
683,5,red,low
684,5,red,low
685,5,red,low
686,5,red,low
687,5,red,low
688,5,red,low
689,5,red,low
690,3,red,low
691,5,red,low
692,5,red,low
693,5,red,low
694,5,red,low
695,6,red,medium
696,6,red,medium
697,6,red,medium
698,5,red,low
699,6,red,medium
700,6,red,medium
701,6,red,medium
702,6,red,medium
703,4,red,low
704,4,red,low
705,5,red,low
706,5,red,low
707,5,red,low
708,6,red,medium
709,6,red,medium
710,5,red,low
711,5,red,low
712,5,red,low
713,5,red,low
714,5,red,low
715,6,red,medium
716,5,red,low
717,5,red,low
718,5,red,low
719,5,red,low
720,5,red,low
721,5,red,low
722,5,red,low
723,5,red,low
724,4,red,low
725,5,red,low
726,6,red,medium
727,5,red,low
728,5,red,low
729,6,red,medium
730,5,red,low
731,5,red,low
732,5,red,low
733,5,red,low
734,5,red,low
735,5,red,low
736,5,red,low
737,6,red,medium
738,5,red,low
739,5,red,low
740,6,red,medium
741,5,red,low
742,5,red,low
743,5,red,low
744,5,red,low
745,6,red,medium
746,6,red,medium
747,5,red,low
748,6,red,medium
749,6,red,medium
750,5,red,low
751,5,red,low
752,5,red,low
753,5,red,low
754,6,red,medium
755,6,red,medium
756,6,red,medium
757,5,red,low
758,5,red,low
759,5,red,low
760,5,red,low
761,5,red,low
762,6,red,medium
763,5,red,low
764,6,red,medium
765,6,red,medium
766,5,red,low
767,5,red,low
768,6,red,medium
769,5,red,low
770,6,red,medium
771,5,red,low
772,5,red,low
773,6,red,medium
774,6,red,medium
775,5,red,low
776,6,red,medium
777,6,red,medium
778,5,red,low
779,5,red,low
780,6,red,medium
781,5,red,low
782,5,red,low
783,5,red,low
784,5,red,low
785,5,red,low
786,5,red,low
787,6,red,medium
788,6,red,medium
789,5,red,low
790,6,red,medium
791,5,red,low
792,6,red,medium
793,5,red,low
794,6,red,medium
795,5,red,low
796,5,red,low
797,7,red,medium
798,6,red,medium
799,6,red,medium
800,5,red,low
801,5,red,low
802,7,red,medium
803,6,red,medium
804,6,red,medium
805,7,red,medium
806,7,red,medium
807,7,red,medium
808,5,red,low
809,6,red,medium
810,5,red,low
811,6,red,medium
812,5,red,low
813,4,red,low
814,6,red,medium
815,5,red,low
816,6,red,medium
817,6,red,medium
818,5,red,low
819,5,red,low
820,5,red,low
821,7,red,medium
822,5,red,low
823,5,red,low
824,5,red,low
825,5,red,low
826,7,red,medium
827,5,red,low
828,8,red,high
829,6,red,medium
830,4,red,low
831,6,red,medium
832,3,red,low
833,4,red,low
834,5,red,low
835,5,red,low
836,7,red,medium
837,7,red,medium
838,7,red,medium
839,5,red,low
840,7,red,medium
841,5,red,low
842,6,red,medium
843,5,red,low
844,6,red,medium
845,5,red,low
846,5,red,low
847,6,red,medium
848,5,red,low
849,5,red,low
850,5,red,low
851,5,red,low
852,5,red,low
853,6,red,medium
854,6,red,medium
855,7,red,medium
856,6,red,medium
857,7,red,medium
858,7,red,medium
859,6,red,medium
860,5,red,low
861,6,red,medium
862,5,red,low
863,5,red,low
864,5,red,low
865,5,red,low
866,6,red,medium
867,6,red,medium
868,6,red,medium
869,6,red,medium
870,6,red,medium
871,5,red,low
872,4,red,low
873,7,red,medium
874,7,red,medium
875,7,red,medium
876,4,red,low
877,6,red,medium
878,6,red,medium
879,5,red,low
880,5,red,low
881,6,red,medium
882,6,red,medium
883,5,red,low
884,6,red,medium
885,5,red,low
886,6,red,medium
887,7,red,medium
888,6,red,medium
889,5,red,low
890,5,red,low
891,5,red,low
892,6,red,medium
893,5,red,low
894,6,red,medium
895,6,red,medium
896,7,red,medium
897,6,red,medium
898,7,red,medium
899,3,red,low
900,5,red,low
901,7,red,medium
902,7,red,medium
903,7,red,medium
904,7,red,medium
905,5,red,low
906,5,red,low
907,6,red,medium
908,6,red,medium
909,6,red,medium
910,6,red,medium
911,6,red,medium
912,6,red,medium
913,7,red,medium
914,6,red,medium
915,6,red,medium
916,5,red,low
917,6,red,medium
918,6,red,medium
919,6,red,medium
920,5,red,low
921,6,red,medium
922,6,red,medium
923,6,red,medium
924,5,red,low
925,7,red,medium
926,6,red,medium
927,4,red,low
928,5,red,low
929,7,red,medium
930,5,red,low
931,5,red,low
932,6,red,medium
933,5,red,low
934,5,red,low
935,6,red,medium
936,6,red,medium
937,4,red,low
938,7,red,medium
939,5,red,low
940,7,red,medium
941,7,red,medium
942,7,red,medium
943,7,red,medium
944,7,red,medium
945,7,red,medium
946,7,red,medium
947,7,red,medium
948,7,red,medium
949,7,red,medium
950,7,red,medium
951,7,red,medium
952,7,red,medium
953,7,red,medium
954,6,red,medium
955,5,red,low
956,6,red,medium
957,6,red,medium
958,7,red,medium
959,5,red,low
960,6,red,medium
961,5,red,low
962,5,red,low
963,6,red,medium
964,6,red,medium
965,6,red,medium
966,7,red,medium
967,5,red,low
968,6,red,medium
969,5,red,low
970,6,red,medium
971,6,red,medium
972,7,red,medium
973,5,red,low
974,7,red,medium
975,5,red,low
976,5,red,low
977,5,red,low
978,7,red,medium
979,5,red,low
980,6,red,medium
981,5,red,low
982,6,red,medium
983,6,red,medium
984,5,red,low
985,6,red,medium
986,7,red,medium
987,5,red,low
988,5,red,low
989,6,red,medium
990,5,red,low
991,5,red,low
992,6,red,medium
993,5,red,low
994,5,red,low
995,6,red,medium
996,7,red,medium
997,7,red,medium
998,6,red,medium
999,6,red,medium
1000,7,red,medium
1001,7,red,medium
1002,7,red,medium
1003,7,red,medium
1004,5,red,low
1005,7,red,medium
1006,7,red,medium
1007,7,red,medium
1008,7,red,medium
1009,5,red,low
1010,7,red,medium
1011,6,red,medium
1012,5,red,low
1013,6,red,medium
1014,6,red,medium
1015,6,red,medium
1016,7,red,medium
1017,6,red,medium
1018,6,red,medium
1019,5,red,low
1020,6,red,medium
1021,6,red,medium
1022,5,red,low
1023,6,red,medium
1024,7,red,medium
1025,6,red,medium
1026,6,red,medium
1027,5,red,low
1028,6,red,medium
1029,7,red,medium
1030,7,red,medium
1031,7,red,medium
1032,5,red,low
1033,6,red,medium
1034,6,red,medium
1035,7,red,medium
1036,7,red,medium
1037,5,red,low
1038,7,red,medium
1039,6,red,medium
1040,5,red,low
1041,6,red,medium
1042,6,red,medium
1043,7,red,medium
1044,6,red,medium
1045,6,red,medium
1046,6,red,medium
1047,5,red,low
1048,6,red,medium
1049,6,red,medium
1050,5,red,low
1051,5,red,low
1052,5,red,low
1053,7,red,medium
1054,6,red,medium
1055,6,red,medium
1056,7,red,medium
1057,5,red,low
1058,7,red,medium
1059,7,red,medium
1060,6,red,medium
1061,8,red,high
1062,6,red,medium
1063,6,red,medium
1064,6,red,medium
1065,6,red,medium
1066,7,red,medium
1067,7,red,medium
1068,7,red,medium
1069,5,red,low
1070,7,red,medium
1071,5,red,low
1072,6,red,medium
1073,6,red,medium
1074,5,red,low
1075,7,red,medium
1076,6,red,medium
1077,5,red,low
1078,5,red,low
1079,7,red,medium
1080,6,red,medium
1081,7,red,medium
1082,6,red,medium
1083,6,red,medium
1084,6,red,medium
1085,5,red,low
1086,7,red,medium
1087,6,red,medium
1088,7,red,medium
1089,7,red,medium
1090,8,red,high
1091,6,red,medium
1092,6,red,medium
1093,7,red,medium
1094,6,red,medium
1095,5,red,low
1096,6,red,medium
1097,5,red,low
1098,7,red,medium
1099,5,red,low
1100,6,red,medium
1101,6,red,medium
1102,6,red,medium
1103,6,red,medium
1104,6,red,medium
1105,5,red,low
1106,6,red,medium
1107,7,red,medium
1108,5,red,low
1109,6,red,medium
1110,6,red,medium
1111,7,red,medium
1112,6,red,medium
1113,6,red,medium
1114,6,red,medium
1115,6,red,medium
1116,6,red,medium
1117,6,red,medium
1118,6,red,medium
1119,5,red,low
1120,8,red,high
1121,6,red,medium
1122,6,red,medium
1123,6,red,medium
1124,4,red,low
1125,7,red,medium
1126,6,red,medium
1127,6,red,medium
1128,5,red,low
1129,6,red,medium
1130,6,red,medium
1131,5,red,low
1132,7,red,medium
1133,7,red,medium
1134,7,red,medium
1135,6,red,medium
1136,6,red,medium
1137,6,red,medium
1138,5,red,low
1139,6,red,medium
1140,6,red,medium
1141,6,red,medium
1142,6,red,medium
1143,6,red,medium
1144,5,red,low
1145,6,red,medium
1146,6,red,medium
1147,7,red,medium
1148,6,red,medium
1149,6,red,medium
1150,7,red,medium
1151,6,red,medium
1152,5,red,low
1153,6,red,medium
1154,6,red,medium
1155,5,red,low
1156,7,red,medium
1157,7,red,medium
1158,6,red,medium
1159,5,red,low
1160,7,red,medium
1161,6,red,medium
1162,7,red,medium
1163,5,red,low
1164,5,red,low
1165,5,red,low
1166,5,red,low
1167,7,red,medium
1168,6,red,medium
1169,6,red,medium
1170,6,red,medium
1171,6,red,medium
1172,6,red,medium
1173,6,red,medium
1174,6,red,medium
1175,6,red,medium
1176,4,red,low
1177,7,red,medium
1178,5,red,low
1179,6,red,medium
1180,6,red,medium
1181,5,red,low
1182,6,red,medium
1183,5,red,low
1184,5,red,low
1185,6,red,medium
1186,5,red,low
1187,6,red,medium
1188,5,red,low
1189,4,red,low
1190,6,red,medium
1191,5,red,low
1192,7,red,medium
1193,5,red,low
1194,6,red,medium
1195,6,red,medium
1196,6,red,medium
1197,6,red,medium
1198,6,red,medium
1199,6,red,medium
1200,6,red,medium
1201,7,red,medium
1202,8,red,high
1203,5,red,low
1204,7,red,medium
1205,7,red,medium
1206,7,red,medium
1207,5,red,low
1208,7,red,medium
1209,7,red,medium
1210,6,red,medium
1211,5,red,low
1212,6,red,medium
1213,6,red,medium
1214,6,red,medium
1215,6,red,medium
1216,6,red,medium
1217,6,red,medium
1218,6,red,medium
1219,6,red,medium
1220,6,red,medium
1221,6,red,medium
1222,6,red,medium
1223,6,red,medium
1224,6,red,medium
1225,5,red,low
1226,5,red,low
1227,5,red,low
1228,7,red,medium
1229,5,red,low
1230,6,red,medium
1231,5,red,low
1232,5,red,low
1233,4,red,low
1234,6,red,medium
1235,4,red,low
1236,6,red,medium
1237,6,red,medium
1238,4,red,low
1239,4,red,low
1240,5,red,low
1241,5,red,low
1242,6,red,medium
1243,5,red,low
1244,6,red,medium
1245,5,red,low
1246,5,red,low
1247,5,red,low
1248,6,red,medium
1249,6,red,medium
1250,6,red,medium
1251,5,red,low
1252,5,red,low
1253,5,red,low
1254,5,red,low
1255,5,red,low
1256,5,red,low
1257,6,red,medium
1258,6,red,medium
1259,6,red,medium
1260,5,red,low
1261,4,red,low
1262,5,red,low
1263,4,red,low
1264,6,red,medium
1265,6,red,medium
1266,6,red,medium
1267,6,red,medium
1268,6,red,medium
1269,8,red,high
1270,6,red,medium
1271,6,red,medium
1272,5,red,low
1273,5,red,low
1274,6,red,medium
1275,6,red,medium
1276,4,red,low
1277,6,red,medium
1278,6,red,medium
1279,7,red,medium
1280,6,red,medium
1281,6,red,medium
1282,6,red,medium
1283,6,red,medium
1284,5,red,low
1285,5,red,low
1286,6,red,medium
1287,5,red,low
1288,5,red,low
1289,5,red,low
1290,5,red,low
1291,6,red,medium
1292,6,red,medium
1293,4,red,low
1294,6,red,medium
1295,5,red,low
1296,5,red,low
1297,6,red,medium
1298,6,red,medium
1299,3,red,low
1300,6,red,medium
1301,6,red,medium
1302,6,red,medium
1303,5,red,low
1304,5,red,low
1305,5,red,low
1306,5,red,low
1307,4,red,low
1308,5,red,low
1309,5,red,low
1310,5,red,low
1311,6,red,medium
1312,5,red,low
1313,6,red,medium
1314,6,red,medium
1315,6,red,medium
1316,6,red,medium
1317,6,red,medium
1318,6,red,medium
1319,6,red,medium
1320,5,red,low
1321,6,red,medium
1322,5,red,low
1323,7,red,medium
1324,6,red,medium
1325,6,red,medium
1326,6,red,medium
1327,6,red,medium
1328,5,red,low
1329,6,red,medium
1330,6,red,medium
1331,5,red,low
1332,6,red,medium
1333,5,red,low
1334,5,red,low
1335,6,red,medium
1336,5,red,low
1337,5,red,low
1338,5,red,low
1339,6,red,medium
1340,6,red,medium
1341,6,red,medium
1342,6,red,medium
1343,6,red,medium
1344,5,red,low
1345,6,red,medium
1346,5,red,low
1347,5,red,low
1348,5,red,low
1349,5,red,low
1350,5,red,low
1351,6,red,medium
1352,5,red,low
1353,5,red,low
1354,5,red,low
1355,5,red,low
1356,5,red,low
1357,6,red,medium
1358,5,red,low
1359,6,red,medium
1360,5,red,low
1361,5,red,low
1362,6,red,medium
1363,4,red,low
1364,6,red,medium
1365,5,red,low
1366,5,red,low
1367,6,red,medium
1368,6,red,medium
1369,4,red,low
1370,5,red,low
1371,6,red,medium
1372,5,red,low
1373,5,red,low
1374,3,red,low
1375,5,red,low
1376,5,red,low
1377,6,red,medium
1378,6,red,medium
1379,6,red,medium
1380,6,red,medium
1381,5,red,low
1382,5,red,low
1383,5,red,low
1384,5,red,low
1385,5,red,low
1386,5,red,low
1387,5,red,low
1388,5,red,low
1389,5,red,low
1390,6,red,medium
1391,5,red,low
1392,5,red,low
1393,5,red,low
1394,5,red,low
1395,6,red,medium
1396,5,red,low
1397,5,red,low
1398,7,red,medium
1399,6,red,medium
1400,5,red,low
1401,5,red,low
1402,6,red,medium
1403,8,red,high
1404,6,red,medium
1405,7,red,medium
1406,6,red,medium
1407,6,red,medium
1408,7,red,medium
1409,6,red,medium
1410,6,red,medium
1411,6,red,medium
1412,6,red,medium
1413,5,red,low
1414,5,red,low
1415,5,red,low
1416,5,red,low
1417,7,red,medium
1418,5,red,low
1419,5,red,low
1420,5,red,low
1421,5,red,low
1422,6,red,medium
1423,4,red,low
1424,6,red,medium
1425,6,red,medium
1426,6,red,medium
1427,5,red,low
1428,5,red,low
1429,5,red,low
1430,5,red,low
1431,6,red,medium
1432,6,red,medium
1433,7,red,medium
1434,6,red,medium
1435,6,red,medium
1436,5,red,low
1437,5,red,low
1438,5,red,low
1439,6,red,medium
1440,7,red,medium
1441,6,red,medium
1442,5,red,low
1443,5,red,low
1444,6,red,medium
1445,6,red,medium
1446,5,red,low
1447,5,red,low
1448,5,red,low
1449,8,red,high
1450,7,red,medium
1451,7,red,medium
1452,7,red,medium
1453,5,red,low
1454,6,red,medium
1455,6,red,medium
1456,6,red,medium
1457,5,red,low
1458,5,red,low
1459,7,red,medium
1460,6,red,medium
1461,4,red,low
1462,6,red,medium
1463,6,red,medium
1464,5,red,low
1465,5,red,low
1466,7,red,medium
1467,4,red,low
1468,7,red,medium
1469,3,red,low
1470,5,red,low
1471,5,red,low
1472,6,red,medium
1473,5,red,low
1474,5,red,low
1475,7,red,medium
1476,5,red,low
1477,7,red,medium
1478,3,red,low
1479,5,red,low
1480,4,red,low
1481,5,red,low
1482,4,red,low
1483,5,red,low
1484,4,red,low
1485,5,red,low
1486,5,red,low
1487,5,red,low
1488,5,red,low
1489,6,red,medium
1490,6,red,medium
1491,5,red,low
1492,5,red,low
1493,5,red,low
1494,7,red,medium
1495,6,red,medium
1496,5,red,low
1497,6,red,medium
1498,6,red,medium
1499,6,red,medium
1500,5,red,low
1501,5,red,low
1502,5,red,low
1503,6,red,medium
1504,6,red,medium
1505,3,red,low
1506,6,red,medium
1507,6,red,medium
1508,6,red,medium
1509,5,red,low
1510,6,red,medium
1511,5,red,low
1512,6,red,medium
1513,6,red,medium
1514,6,red,medium
1515,6,red,medium
1516,5,red,low
1517,6,red,medium
1518,5,red,low
1519,5,red,low
1520,6,red,medium
1521,4,red,low
1522,5,red,low
1523,5,red,low
1524,6,red,medium
1525,5,red,low
1526,6,red,medium
1527,6,red,medium
1528,6,red,medium
1529,6,red,medium
1530,6,red,medium
1531,5,red,low
1532,6,red,medium
1533,5,red,low
1534,7,red,medium
1535,6,red,medium
1536,6,red,medium
1537,6,red,medium
1538,5,red,low
1539,5,red,low
1540,6,red,medium
1541,7,red,medium
1542,6,red,medium
1543,6,red,medium
1544,7,red,medium
1545,6,red,medium
1546,5,red,low
1547,5,red,low
1548,5,red,low
1549,8,red,high
1550,5,red,low
1551,5,red,low
1552,6,red,medium
1553,5,red,low
1554,6,red,medium
1555,7,red,medium
1556,5,red,low
1557,6,red,medium
1558,5,red,low
1559,5,red,low
1560,5,red,low
1561,5,red,low
1562,5,red,low
1563,5,red,low
1564,5,red,low
1565,6,red,medium
1566,6,red,medium
1567,5,red,low
1568,5,red,low
1569,6,red,medium
1570,6,red,medium
1571,6,red,medium
1572,5,red,low
